Alabama,1,,,1,
Alaska,1,,,68,
Arizona,1,,,97,
Arkansas,1,,,112,
California,1,,,187,
Colorado,1,,,245,
Connecticut,1,,,309,
Delaware,1,,,317,
District of Columbia,1,,,320,
Florida,1,,,321,
Georgia,1,,,388,
Hawaii,1,,,547,
Idaho,1,,,552,
Illinois,1,,,596,
Indiana,1,,,698,
Iowa,1,,,790,
Kansas,1,,,889,
Kentucky,1,,,994,
Louisiana,1,,,1114,
Maine,1,,,1178,
Maryland,1,,,1194,
Massachusetts,1,,,1218,
Michigan,1,,,1232,
Minnesota,1,,,1315,
Mississippi,1,,,1402,
Missouri,1,,,1484,
Montana,1,,,1599,
Nebraska,1,,,1655,
Nevada,1,,,1748,
New Hampshire,1,,,1765,
New Jersey,1,,,1775,
New Mexico,1,,,1796,
New York,1,,,1829,
North Carolina,1,,,1891,
North Dakota,1,,,1991,
Ohio,1,,,2044,
Oklahoma,1,,,2132,
Oregon,1,,,2209,
Pennsylvania,1,,,2245,
Rhode Island,1,,,2312,
South Carolina,1,,,2317,
South Dakota,1,,,2363,
Tennessee,1,,,2429,
Texas,1,,,2524,
Utah,1,,,2778,
Vermont,1,,,2807,
Virginia,1,,,2821,
Washington,1,,,2955,
West Virginia,1,,,2994,
Wisconsin,1,,,3049,
Wyoming,1,,,3121,
